"G1","G2","Score","DifferenceinPotential","ActualPotential","ConstRatio","MeanPotPoints","ConstDiffmax","ConstDiffmean"
"ESSFmc   /01","ESSFmc   /04",3.36405341358198,39.6065217391304,0.0849368554941385,0.8,82.1182608695652,0.966993689299574,0.959034039713464
"ESSFmc   /01","ESSFwv   /03",3,31.9134782608696,0.094004168880533,0.846153846153846,79.6957608695652,0.968636470557487,0.962356843484938
"ESSFmc   /01","ESSFdc 3 /104",12.8506693331468,49.0608695652174,0.261933174993244,0.5,68.9982608695652,0.862601854505301,0.813753721163497
"ESSFwm 3 /101","ESSFwm 3 /105",5.22045763523835,34.0542307692308,0.153298357276513,0.692307692307692,68.5271153846154,0.938980719149708,0.923819095464065
"ESSFwm 3 /101","ESSFwm 2 /101",12.795106960112,42.6950869565217,0.299685698570934,0.625,85.7905434782609,0.880573684638363,0.850856441265531
"ESSFwm 3 /101","ESSFwm 1 /101",10.9662254144569,31.8262727272727,0.344565180736973,0.875,80.9087727272727,0.886738182324412,0.86446184950275
"ESSFwm 3 /101","ESSFwmw  /101",9.85548787724393,41.611,0.236848138166445,0.428571428571429,63.6375,0.883288278753195,0.845130813164503
"ESSFwm 3 /101","ESSFwc 4 /103b",9.7716017945481,39.38,0.248136155270394,0.466666666666667,74.909,0.896705020195265,0.869553701230185
"ESSFwm 3 /101","ESSFwcw  /101",13.2674213370334,46.1452631578947,0.28751426320046,0.666666666666667,78.4783684210526,0.869352135015574,0.830941677254922
"ESSFwm 3 /101","ESSFwm 3 /110",10.8065650444793,43.3825,0.249099637975666,0.631578947368421,88.19025,0.901652552572732,0.877463041045021
"ESSFwm 3 /101","ESSFwc 4 /103a",10.1814958193878,45.712,0.22273135761699,0.470588235294118,73.075,0.893866468405543,0.860670601171566
"ESSFwm 3 /101","ESSFwm 4 /101",10.425,37.275,0.279678068410463,0.857142857142857,71.1375,0.883876357560568,0.853452820242488
"ESSFmh   /111","ESSFwh 1 /110.2",8.84453441295546,55.5114089068826,0.159328227964664,0.769230769230769,126.024935222672,0.942486034447617,0.929819171124126
"ESSFmh   /111","ESSFwc 4 /110",14.4023033629333,63.0747368421053,0.228337113779587,0.583333333333333,118.794777327935,0.90419678179156,0.87876316041087
"ESSFmh   /111","ESSFdh 2 /110",11.6594767331007,56.4826923076923,0.206425654598494,0.590909090909091,107.650961538462,0.914200612741815,0.891691847741323
"ESSFwm 3 /105","ESSFwm 2 /103",14.4563305728678,47.34,0.305372424437426,0.6875,68.5130769230769,0.84317804248462,0.788998958708297
"ESSFwm 3 /105","ESSFwmw  /101",9.44944651536511,27.7792307692308,0.340162281449191,0.444444444444444,52.3896153846154,0.857429749776881,0.819631305822871
"ESSFwm 3 /105","ESSFwh 3 /104.1",10.1526185534076,33.4212955465587,0.303776929869884,0.428571428571429,65.4898785425101,0.876489616205079,0.844974234502245
"ESSFwm 3 /105","ESSFwm 2 /104",9.63322062882489,32.7304807692308,0.294319557868544,0.75,58.6939903846154,0.871658415226207,0.835873816625869
"ESSFwm 3 /105","ESSFwc 4 /103b",10.9136479160518,32.3222307692308,0.337651444727666,0.666666666666667,63.6611153846154,0.863275583620262,0.828566498558565
"ESSFwm 3 /105","ESSFwm 3 /102",4.31298132761547,18.9707692307692,0.227348784603849,0.666666666666667,51.4146153846154,0.929179288544902,0.916113710170707
"ESSFwm 3 /105","ESSFwm 3 /103",3.85973275475503,14.8310735785953,0.260246349281519,0.555555555555556,56.334593645485,0.939455296351063,0.931485566771912
"ESSFwm 3 /105","ESSFwcw  /103",14.7935942160611,38.2604807692308,0.386654686993848,0.545454545454545,59.1302403846154,0.810969801480221,0.749813392946901
"ESSFwm 3 /105","ESSFwmw  /102",14.7715146094216,39.3392307692308,0.375490682470974,0.454545454545455,45.1096153846154,0.771971441555959,0.67254177444263
"ESSFwm 3 /105","ESSFwm 3 /104",14.5074937965261,29.5592307692308,0.490794023355554,0.555555555555556,52.4996153846154,0.784368911019701,0.723664760394085
"ESSFwm 3 /105","ESSFwc 4 /103a",9.50349675947988,40.6542307692308,0.233764028482679,0.714285714285714,61.8271153846154,0.884321273895498,0.84628917748531
