"YearOfChange","ChangeDescription","FamilyCode","OldCode","Code","SplCode","TreeCode","ScientificName","Lifeform","Authority","EnglishName","Codetype","Province","Native","TaxonLevel","IsAttribute","ID"
,,"Andreaea","ANDRSIN","ANDRSIN","ANDRSIN",,"Andreaea sinuosa",9.00,,"small-spored rock-moss","U",,"N",,0,142
,,"Andreaeo","ANDRMAC","ANDRMAC","ANDRMAC",,"Andreaeobryum macrosporum",9.00,,,"U",,"N",,0,143
,,"Pottiace","ANOEAES","ANOEAES","ANOEAES",,"Anoectangium aestivum",9.00,,"summer-moss","U",,"N",,0,144
,,"Bryaceae","ANOMCON","ANOMCON","ANOMCON",,"Anomobryum concinnatum",9.00,,,"U",,,,0,145
,,"Bryaceae","ANOMJUL","ANOMJUL","ANOMJUL",,"Anomobryum julaceum",9.00,,,"U",,,,0,146
,,"Anomodon","ANOMATT","ANOMATT","ANOMATT",,"Anomodon attenuatus",9.00,,,"U",,,,0,147
,,"Anomodon","ANOMMIN","ANOMMIN","ANOMMIN",,"Anomodon minor",9.00,,,"U",,,,0,148
,,"Anomodon","ANOMROS","ANOMROS","ANOMROS",,"Anomodon rostratus",9.00,,,"U",,,,0,149
,,"Anomodon","ANOMRUG","ANOMRUG","ANOMRUG",,"Anomodon rugelii",9.00,,,"U",,,,0,150
,,"Anomodon","ANOMTRI","ANOMTRI","ANOMTRI",,"Anomodon tristis",9.00,,,"U",,,,0,151
,,"Anomodon","ANOMVIT","ANOMVIT","ANOMVIT",,"Anomodon viticulosus",9.00,,,"U",,,,0,152
,,"Leskeace","ANTICAL","ANTICAL","ANTICAL",,"Antitrichia californica",9.00,,,"U",,"N",,0,153
,,"Leucodon","ANTICUR","ANTICUR","ANTICUR",,"Antitrichia curtipendula",9.00,,"hanging wing-moss","U",,"N",,0,154
,,"Funariac","APHASER","APHASER","APHASER",,"Aphanorrhegma serratum",9.00,,,"U",,,,0,155
,,"Splachna","APLOWOR","APLOWOR","APLOWOR",,"Aplodon wormskioldii",9.00,,,"U",,,,0,156
,,"Dicranac","ARCTAND","ARCTAND","ARCTAND",,"Arctoa anderssonii",9.00,,,"U",,,,0,157
,,"Dicranac","ARCTFUV","ARCTFUV","ARCTFUV",,"Arctoa fulvella",9.00,,"arctic fork-moss","U",,"N",,0,158
,,"Aulacomn","ARRHHET","ARRHHET","ARRHHET",,"Arrhenopterum heterostichum",9.00,,,"U",,,,0,159
,,"Polytric","ATRIALT","ATRIALT","ATRIALT",,"Atrichum altecristatum",9.00,,,"U",,,,0,160
,,"Polytric","ATRIANG","ATRIANG","ATRIANG",,"Atrichum angustatum",9.00,,,"U",,,,0,161
,,"Polytric","ATRICRS","ATRICRS","ATRICRS",,"Atrichum crispulum",9.00,,,"U",,,,0,162
,,"Polytric","ATRICRI","ATRICRI","ATRICRI",,"Atrichum crispum",9.00,,,"U",,,,0,163
,,"Polytric","ATRICYL","ATRICYL","ATRICYL",,"Atrichum cylindricum",9.00,,,"U",,,,0,164
,,"Polytric","ATRIFLA","ATRIFLA","ATRIFLA",,"Atrichum flavisetum",9.00,,,"U",,,,0,165
,,"Polytric","ATRISEL","ATRISEL","ATRISEL",,"Atrichum selwynii",9.00,,"crane's-bill moss","U",,"N",,0,166
,,"Fissiden","FISSFON","FISSFON","FISSFON",,"Fissidens fontanus",9.00,,,"U",,"N",,0,167
,,"Fissiden","FISSGRA","FISSGRA","FISSGRA",,"Fissidens grandifrons",9.00,,,"U",,"N",,0,168
,,,"FISSHAL","FISSHAL","FISSHAL",,"Fissidens hallianus",9.00,,,"U",,,,0,169
,,"Fissiden","FISSMIN","FISSMIN","FISSMIN",,"Fissidens minutulus",9.00,,,"U",,,,0,170
,,"Fissiden","FISSOBT","FISSOBT","FISSOBT",,"Fissidens obtusifolius",9.00,,,"U",,,,0,171
,,"Fissiden","FISSPAU","FISSPAU","FISSPAU",,"Fissidens pauperculus",9.00,,,"U",,"N",,0,173
,,"Fissiden","FISSSUB","FISSSUB","FISSSUB",,"Fissidens subbasilaris",9.00,,,"U",,,,0,174
,,"Fissiden","FISSSUL","FISSSUL","FISSSUL",,"Fissidens sublimbatus",9.00,,,"U",,,,0,175
,,"Fissiden","FISSTAX","FISSTAX","FISSTAX",,"Fissidens taxifolius",9.00,,,"U",,,,0,176
,,"Fissiden","FISSVEN","FISSVEN","FISSVEN",,"Fissidens ventricosus",9.00,,,"U",,"N",,0,177
,,"Fontinal","FONTANT","FONTANT","FONTANT",,"Fontinalis antipyretica",9.00,,"greater water-moss","U",,"N",,0,178
,,"Fontinal","FONTDAL","FONTDAL","FONTDAL",,"Fontinalis dalecarlica",9.00,,,"U",,,,0,179
,,"Fontinal","FONTHOW","FONTHOW","FONTHOW",,"Fontinalis howellii",9.00,,,"U",,,,0,180
,,"Fontinal","FONTHYP","FONTHYP","FONTHYP",,"Fontinalis hypnoides",9.00,,"feather-branched water-moss","U",,"N",,0,181
,,"Fontinal","FONTNEO","FONTNEO","FONTNEO",,"Fontinalis neomexicana",9.00,,,"U",,"N",,0,182
,,"Fontinal","FONTNOV","FONTNOV","FONTNOV",,"Fontinalis novae-angliae",9.00,,,"U",,,,0,183
,,"Fontinal","FONTSPH","FONTSPH","FONTSPH",,"Fontinalis sphagnifolia",9.00,,,"U",,,,0,184
,,"Fontinal","FONTSUL","FONTSUL","FONTSUL",,"Fontinalis sullivantii",9.00,,,"U",,,,0,185
,,"Leptodon","FORSTRI","FORSTRI","FORSTRI",,"Forsstroemia trichomitria",9.00,,,"U",,,,0,186
,,"Funariac","FUNAARC","FUNAARC","FUNAARC",,"Funaria arctica",9.00,,,"U",,,,0,187
,,"Funariac","FUNAFLA","FUNAFLA","FUNAFLA",,"Funaria flavicans ",9.00,,,"U",,,,0,188
,,"Funariac","FUNAHYG","FUNAHYG","FUNAHYG",,"Funaria hygrometrica",9.00,,"common cord-moss","U",,"N",,0,189
,,"Funariac","FUNAMIC","FUNAMIC","FUNAMIC",,"Funaria microstoma",9.00,,,"U",,,,0,190
,,"Funariac","FUNAMUH","FUNAMUH","FUNAMUH",,"Funaria muhlenbergii",9.00,,"Muhlenberg's cord-moss","U",,"N",,0,191
