PlotNumber Species Cover
02-0821 PLEUSCH-7 1
02-0821 RHODTOM-5b 0.5
02-0821 RHYTRUG-7 0.100000001490116
02-0821 SALIGLA-5b 1
02-0821 SALIRET-6 0.5
02-0821 SAUSANG-6 9.99999977648258E-03
02-0821 SCAPDEG1-7 0.100000001490116
02-0821 SILEACA-6 0.100000001490116
02-0821 TOMENIT-7 0.100000001490116
02-0821 VACCULI-5b 2
02-0822 ARCTRUB-6 3
02-0822 AULATUR-7 0.100000001490116
02-0822 BETUGLA-5a 35
02-0822 BISTVIV-6 0.100000001490116
02-0822 CAREFUL1-6 0.100000001490116
02-0822 CAREMEM-6 2
02-0822 CARESCI-6 2
02-0822 CASSTET-6 0.100000001490116
02-0822 CETRISL1-7 0.100000001490116
02-0822 CETRLAE-7 0.100000001490116
02-0822 CRUSTWHT-7 5
02-0822 DRYAINT-6 25
02-0822 FLAVCUC-7 1.10000002384186
02-0822 HYLOSPL-7 0.100000001490116
02-0822 LACTARIU-7 9.99999977648258E-03
02-0822 LUPIARC-6 15
02-0822 OXYTMAY-6 0.100000001490116
02-0822 POAARC-6 9.99999977648258E-03
02-0822 RHODLAP-5c 2
02-0822 RHYTRUG-7 0.100000001490116
02-0822 SALIARC-5c 0.5
02-0822 SALIGLA-5a 10
02-0822 SALIRET-6 2
02-0822 SAUSANG-6 9.99999977648258E-03
02-0822 THAMVER-7 0.5
02-0822 VACCULI-5c 3
02-0823 BISTVIV-6 1.00000004749745E-03
02-0823 BRYUM-7 1
02-0823 CLADONI-7 1
02-0823 DESCSOH-6 1.00000004749745E-03
02-0823 DRABCIN-6 0.100000001490116
02-0823 DRABCOR-6 1.00000004749745E-03
02-0823 DRYAINT-6 4
02-0823 FLAVNIV-7 2
02-0823 GOWANIG-7 1.00000004749745E-03
02-0823 MINURUB-6 1.99999995529652E-02
02-0823 OXYTNIG2-6 9.99999977648258E-03
02-0823 POAARC-6 1
02-0823 SALIARC-5c 1
02-0823 SAXIOPP-6 1.00000004749745E-03
02-0823 SAXITRI-6 6
02-0823 STELLOG6-6 9.99999977648258E-03
02-0823 THAMVER-7 0.100000001490116
02-0823 XANTHOR-7 9.99999977648258E-03
02-0824 BRYUM-7 0.100000001490116
02-0824 CRUSTBLK-7 1
02-0824 DICRELO-7 0.100000001490116
02-0824 DREPBRE-7 5
02-0824 DRYAINT-6 1
02-0824 ORTHOTR-7 0.100000001490116
02-0824 PARRARC-6 9.99999977648258E-03
02-0824 PSEUTUR-7 0.100000001490116
02-0824 SALIARC-5c 8
02-0824 SAXIOPP-6 1
02-0824 TOMENIT-7 0.100000001490116
02-0824 TORTNOR-7 0.100000001490116
02-0825 CAREFUL-6 9.99999977648258E-03
02-0825 CARERUP-6 5
02-0825 CRUSTBLK-7 5
02-0825 CRUSTWHT-7 1
02-0825 DACTYLN-7 5.00000007450581E-02
02-0825 DARKBROW-7 3
02-0825 DIDYRIG-7 0.100000001490116
02-0825 DITRFLE-7 0.100000001490116
02-0825 DRABA-6 4.99999988824129E-03
02-0825 DRYAINT-6 20
02-0825 GREEN-7 1.99999995529652E-02
02-0825 Hypnrev1-7 0.100000001490116
02-0825 PEDILAN-6 5.00000007450581E-02
02-0825 SALIARC-5c 2
02-0825 SAXIOPP-6 3
02-0825 TETRMNI-7 0.100000001490116
02-0825 THAMVER-7 0.100000001490116
02-0825 TORTNOR-7 0.100000001490116
02-0826 BISTVIV-6 1.00000004749745E-03
02-0826 CERAREG-6 2.99999993294477E-02
02-0826 CRUSTBLK-7 40
02-0826 DIDYRIG-7 0.100000001490116
02-0826 DISTCAP-7 0.200000002980232
02-0826 DRABA-6 1.00000004749745E-03
02-0826 DRYAINT-6 0.5
02-0826 HYPNCUP-7 0.100000001490116
02-0826 OXYRDIG-6 0.100000001490116
02-0826 PARRARC-6 2.99999993294477E-02
02-0826 SALIARC-5c 7
02-0826 SAXIOPP-6 5.00000007450581E-02
02-0827 ALOPMAG-6 0.100000001490116
02-0827 BISTVIV-6 1.00000004749745E-03
02-0827 BRYUCYC-7 0.100000001490116
02-0827 CAREFUL-6 0.100000001490116
02-0827 CERAREG-6 0.100000001490116
02-0827 CRUSTBLK-7 90
02-0827 DIDYRIG-7 0.100000001490116
02-0827 DRYAINT-6 5.00000007450581E-02
02-0827 Hypnrev2-7 0.100000001490116
02-0827 JUNCBIG-6 1.00000004749745E-03
02-0827 OXYRDIG-6 2.99999993294477E-02
02-0827 PARRARC-6 1.00000004749745E-03
02-0827 Ptycpen-7 0.100000001490116
02-0827 SALIARC-5c 0.100000001490116
02-0827 SAXICES-6 0.100000001490116
02-0827 SAXIOPP-6 5.00000007450581E-02
02-0828 CARERUP-6 0.100000001490116
02-0828 DIDYRIG-7 0.100000001490116
02-0828 DITRFLE-7 0.100000001490116
