YearOfChange,ChangeDescription,FamilyCode,OldCode,Code,SplCode,TreeCode,ScientificName,Lifeform,Authority,EnglishName,Codetype,Province,Native,TaxonLevel,IsAttribute,ID
,,NOTUSED,ARTHGEM,ACROGEM,ACROGEM,,Arthopyrenia gemmata,11,(Ach.) A. Massal.,,S,BC,,spe,FALSE,136
,,NOTUSED,ARTHSPH,ACROGEM,ACROGEM,,Arthopyrenia sphaeroides,11,(Wallr.) Zahlbr.,,S,BC,,spe,FALSE,137
,,ASTERAC,ACROPTI,ACROPTI,ACROPTI,,Acroptilon sp.,7,,,U,BC,E,gen,FALSE,138
,,ASTERAC,ACROREP,ACROREP,ACROREP,,Acroptilon repens,7,(L.) DC.,Russian knapweed,U,BC,E,spe,FALSE,139
,,ASTERAC,CENTREP,ACROREP,ACROREP,,Centaurea repens,7,L.,,S,BC,,spe,FALSE,140
,,NOTUSED,ACROSCY,ACROSCY,ACROSCY,,Acroscyphus sp.,11,,crab-eye lichens,U,BC,N,gen,FALSE,141
,,NOTUSED,ACROSPH,ACROSPH,ACROSPH,,Acroscyphus sphaerophoroides,11,Leveille,the crab-eye,U,BC,N,spe,FALSE,142
,,RANUNCL,ACTAEA,ACTAEA,ACTAEA,,Actaea sp.,7,,,U,BC,N,gen,FALSE,143
,,RANUNCL,ACTAELA,ACTAELA,ACTAELA,,Actaea elata,7,(Nutt.) Prantl,tall bugbane,U,BC,N,spe,FALSE,144
2010,native,RANUNCL,ACTAELA1,ACTAELA1,ACTAELA,,Actaea elata var. elata,7,,tall bugbane,U,BC,N,var,FALSE,145
2010,now synonym,RANUNCL,CIMIELA,ACTAELA1,ACTAELA,,Cimicifuga elata,7,Nutt.,,S,BC,,spe,FALSE,146
,,RANUNCL,ACTAARG,ACTARUB,ACTARUB,,Actaea arguta,7,Nutt.,,S,BC,,spe,FALSE,147
,,RANUNCL,ACTARUB,ACTARUB,ACTARUB,,Actaea rubra,7,(Ait.) Willd.,baneberry,U,BC,N,spe,FALSE,148
,,RANUNCL,ACTARUB1,ACTARUB,ACTARUB,,Actaea rubra ssp. arguta,7,(Nutt.) Hult.,,S,BC,,sub,FALSE,149
,,RANUNCL,ACTARUB2,ACTARUB,ACTARUB,,Actaea rubra ssp. rubra,7,,,S,BC,,sub,FALSE,150
,,ADELANT,ADELANT,ADELANT,ADELANT,,Adelanthaceae,10,,,U,BC,N,fam,FALSE,151
,,ASTERAC,ADENBIC,ADENBIC,ADENBIC,,Adenocaulon bicolor,7,Hook.,pathfinder,U,BC,N,spe,FALSE,152
,,ASTERAC,ADENOCA,ADENOCA,ADENOCA,,Adenocaulon sp.,7,,,U,BC,N,gen,FALSE,153
,,PTERIDA,ADIAALE,ADIAALE,ADIAALE,,Adiantum aleuticum,5,(Rupr.) Paris,northern maiden-hair,U,BC,N,spe,FALSE,154
2012,Added synonym,PTERIDA,ADIAPED,ADIAALE,ADIAALE,,Adiantum pedatum,5,(Rupr.) Calder & Taylor,,S,BC,,spe,FALSE,155
,,PTERIDA,ADIAPED1,ADIAALE,ADIAALE,,Adiantum pedatum ssp. aleuticum,5,(Rupr.) Calder & Taylor,,S,BC,,sub,FALSE,156
,,PTERIDA,ADIAPED2,ADIAALE,ADIAALE,,Adiantum pedatum ssp. calderi,5,Cody,,S,BC,,sub,FALSE,157
,,PTERIDA,ADIAPED3,ADIAALE,ADIAALE,,Adiantum pedatum var. aleuticum,5,Rupr.,,S,BC,,var,FALSE,158
,,PTERIDA,ADIAPED4,ADIAALE,ADIAALE,,Adiantum pedatum var. subpumilum,5,Wagner,,S,BC,,var,FALSE,159
2012,new native,PTERIDA,ADIAALE1,ADIAALE1,ADIAALE,,Adiantum aleuticum var. aleuticum,5,,northern maiden-hair,U,BC,N,var,FALSE,160
2012,new native,PTERIDA,ADIAALE2,ADIAALE2,ADIAALE,,Adiantum aleuticum var. subpumilum,5,(W.H.) Wagner) E.R. Alverson,dwarf maiden-hair,U,BC,N,var,FALSE,161
,,PTERIDA,ADIACAP,ADIACAP,ADIACAP,,Adiantum capillus-veneris,5,L.,southern maiden-hair,U,BC,N,spe,FALSE,162
,,PTERIDA,ADIANTU,ADIANTU,ADIANTU,,Adiantum sp.,5,,,U,BC,N,gen,FALSE,163
,,ADOXACE,ADOXA,ADOXA,ADOXA,,Adoxa sp.,7,,,U,BC,N,gen,FALSE,164
,,ADOXACE,ADOXAC,ADOXACE,ADOXACE,,Adoxaceae,4,,,U,BC,N,fam,FALSE,165
,,ADOXACE,ADOXMOS,ADOXMOS,ADOXMOS,,Adoxa moschatellina,7,L.,moschatel,U,BC,N,spe,FALSE,166
